trust_type,trust_name,system_name,user_category,sus_score,csus_score,review_positive_text,review_negative_text,,,
Acute Trust (non-Foundation),Royal Liverpool and Broadgreen University Hospitals NHS Trust,i.PM (CSC),IT or Technical Staff,60,12.5,"It is relatively easy to use as it generally looks like Microsoft Excel and because it has limited clinical functionality. iPM only does basic patient administration like MPI, outpatients, waiting list and inpatients.","It has no patient information that a clinician would log onto the system to find out, it does not have order communications or results, theatres, prescribing etc. we do not use it for clinical letters, just appointment letters. We have separate interfaced systems for order comms and results, clinical letters, coding, theatres, labs, radiology, pharmacy/prescribing etc.",,,
Acute Trust (non-Foundation),Barts Health NHS Trust,Software of Excellence (Henry Schein),,75,25,Ability to do custom screens /quick plans,"Difficult to review notes - have to open up boxes can't get a quick overview
Medical history not comprehensive",,,
Acute Foundation Trust,Southend University Hospital NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,92.5,47.5,Easy to use. Designed for us by us. Support is excellent and we have had zero unscheduled down time in 7yrs,Clinical noting implementation. Further integration with other clinical systems ,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS WIGAN BOROUGH CCG,Vision 3 (INPS),Primary Care Doctor - GP,25,7.5,,,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Secondary / Tertiary Care Doctor,22.5,20,Availablity of info 24 hours a day.,Consolidation of information into one chronological narrative. ,,,
Mental Health Foundation Trust,Oxford Health NHS Foundation Trust,Carenotes (Advanced Health & Care),Secondary / Tertiary Care Doctor,52.5,10,ability to access from everywhere,very difficult to search notes (no filtering system) so difficult to find out about patients history,,,
Mental Health Foundation Trust,Cumbria Partnership NHS Foundation Trust,i.PM (CSC),Clinical change lead,32.5,12.5,That we are about to replace it,Its interoperability,,,
Acute Foundation Trust,Northumbria Healthcare NHS Foundation Trust,Silverlink (Stalis),IT or Technical Staff,65,50,quick to learn,"add more clinical data, record clinical notes and patient activity
",,,
Mental Health Foundation Trust,Cumbria Partnership NHS Foundation Trust,i.PM (CSC),Clinical change lead,32.5,12.5,That we are about to replace it,Its interoperability,,,
Acute Trust (non-Foundation),Leeds Teaching Hospitals NHS Trust,In House System (In House),Secondary care nurse,80,37.5,"The fact that I (as a senior clinical user) am able to impact on the functionality and features developed in the system, working with IT staff to generate requirements, adapt during development and then test before releasing functionality.","There's always a tendency to want to do everything all at once, and prioritisation is difficult.
Being the single user (as an organisation) of the system means that it is difficult to determine (without trial and error) what will work effectively for end users. Clinical decision support is time consuming as it has to be completed by our own clinical users.",,,
Community Trust,Lincolnshire Community Health Services NHS Trust,Kodak R4 (Carestream Dental),Dental Therapist,25,12.5,"Completing treatment plans.
","Ability to scroll through patient notes (each episode of care needs opening seperately presently)
Less  mouse clicks to complete actions.
Training received was inadequate and never really understood the basics.
",,,
Mental Health Foundation Trust,"Northumberland, Tyne and Wear NHS Foundation Trust",RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,72.5,37.5,accessibility via mobile device,too many clicks,,,
Community Trust,Birmingham Community Healthcare NHS Trust,Kodak R4 (Carestream Dental),dentist,27.5,12.5,,,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS MID ESSEX CCG,SystmOne GP (TPP),Primary Care Doctor - GP,12.5,10,I  like most the fact that I have become used to it. I can work in a way which reduces the worst of the inefficiencies.,"The system is clunky, hugely inconsistent, has opaque and idiosyncratic workflows. It cannot properly print, tabulate, graph or format patient data in a useful way. Key data about the patient is relatively concealed in ordinary use and the system encourages wildly varying data entry by different users. I would insist that it is opened up to third party APIs and integration, so that individual functions can be provided by best of breed suppliers and I would smooth and refine the entire UI and philosophy of interaction. It is not fit for use in the real-time interaction with the patient, but we have no choice. It's like working with a raw spreadsheet while consulting with a patient. Very little of it supports the consultation. Startup / login to SystmOne puts the user through an excruciating series of dialogue boxes, within admonishing countdowns, which have nothing to do with the user and just slow everything down at the beginning of a session, often by very significant amounts of time. ",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS LAMBETH CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,77.5,45,,,,,
Acute Foundation Trust,King's College Hospital NHS Foundation Trust,i.CM (CSC),IT or Technical Staff,62.5,27.5,Accessible from anywhere within the hospital betwirk,Needs to be more efficient (fast),,,
Acute Trust (non-Foundation),Barts Health NHS Trust,Millennium (Cerner),Secondary / Tertiary Care Doctor,7.5,10,Nothing,Everything. It was obviously designed without clinician input in the 1990s as a billing software.  It's various functions are meaningless as it is impossible to use efficiently despite years of experience.  It is not only inferior to other electronic systems but also inferior to paper based approaches. It frequently crashes.,,,
Mental Health Foundation Trust,Central and North West London NHS Foundation Trust,Jade,Secondary / Tertiary Care Doctor,60,37.5,Simplicity,Increase flexibility,,,
Community Trust,Central London Community Healthcare NHS Trust,SystmOne GP (TPP),"Community Nurse - School Nurse, Health Visitor etc",25,10,Being able to access in real time clinical patient information if it has been correctly uploaded or shared ,Simply use of its a tricky clunky cumbersome system to navigate it was not built in a user friendly way for community nurses who have a plethora of functions - it need to be no more than 3 clicks to any function ,,,
Scottish Health Board,NHS Lothian,CrossCare,Primary Care Doctor - GP,85,25,"Predictive approach to provided coded data, ability to design your own templates to suit needs of locality. keyboard interaction that means you can navigate the system without needing to concentrate on screen and mouse pointer with your eyes (good for maintain eye contact with patient when consulting). Structured approach to recording consultations.",Improve the searching capabilities. Improve drug disease safety warnings (you have to build your own!), improve interoperability with other clinical data repositories.,,
Mental Health Foundation Trust,Black Country Partnership NHS Foundation Trust,Carenotes (Advanced Health & Care),Secondary / Tertiary Care Doctor,17.5,22.5,Better than having nothing.,"The system is not intuitive. Every entery is recorded separately, so I have to open each and every letter or encounter to look up for what I want. I can't search all of the clinical entries for my patient easily.
The system designed to mirror the paper note, so as if I have to flick through a paper note , page by page, but in a more cumbersome way.",,,
